Park_ID,Park_Name,Recognition_Level,Recognition_Type,Recognition_Status,Year,Source_Title,Publisher,URL,Evidence_ID,Is_Final_Highest,Final_Highest_Status
GD-001,广州南沙大岗先进制造业基地,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0080,YES,SELECTED_FOR_CONSTRUCTION
GD-002,汕头潮阳产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0081,YES,SELECTED_FOR_CONSTRUCTION
GD-003,佛山高新技术产业开发区狮山产业园,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0082,YES,SELECTED_FOR_CONSTRUCTION
GD-004,河源市高新技术开发区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0083,YES,SELECTED_FOR_CONSTRUCTION
GD-005,梅州融湾产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0084,YES,SELECTED_FOR_CONSTRUCTION
GD-006,惠州惠城高新技术产业开发区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0085,YES,SELECTED_FOR_CONSTRUCTION
GD-007,汕尾红海湾产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0086,YES,SELECTED_FOR_CONSTRUCTION
GD-008,中山翠亨新区产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0087,YES,SELECTED_FOR_CONSTRUCTION
GD-009,江门台山产业园区,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0088,YES,SELECTED_FOR_CONSTRUCTION
GD-010,阳江滨海新区（阳江高新区）园中园,PROVINCIAL,ZERO_CARBON_PARK_CONSTRUCTION,SELECTED_FOR_CONSTRUCTION,2026,广东省零碳园区建设名单（第一批）,广东省发展改革委等四部门（公开转载）,https://www.ccn.ac.cn/policies-and-regulations/cpcn/8185.html,S3E-0089,YES,SELECTED_FOR_CONSTRUCTION
