园区ID,园区名称,省区,城市,已评价指标数,需复核数,实得分,覆盖满分,数据覆盖率,标准化得分,A类,B类,C类,D类,30%试排名资格,60%正式排名资格
N001,北京经济技术开发区,北京,北京市,14,0,28,30,0.3,93.33333333333333,8,14,4,2,是,否
N002,天津经济技术开发区,天津,天津市,15,0,25.3,31,0.31,81.61290322580645,6,12,5.3,2,是,否
N003,天津港保税区,天津,天津市,13,0,20.3,31,0.31,65.48387096774194,7,8,3.3,2,是,否
N004,河北保定高新技术产业开发区,河北,保定市,16,0,22.5,32,0.32,70.3125,4,11,5.5,2,是,否
N005,河北沧州沧东经济开发区,河北,沧州市,14,0,20.6,30,0.3,68.66666666666667,3,12,3.6,2,是,否
N006,河北唐山乐亭经济开发区,河北,唐山市,12,0,19.6,30,0.3,65.33333333333334,7,9,3.6,0,是,否
N007,山西大同经济技术开发区,山西,大同市,15,0,19.9,32,0.32,62.18749999999999,4,10,4.9,1,是,否
N008,山西阳泉高新技术产业开发区,山西,阳泉市,15,0,22.5,30.5,0.305,73.77049180327869,4,10,6.5,2,是,否
N009,内蒙古鄂尔多斯蒙苏经济开发区,内蒙古,鄂尔多斯市,15,0,23.5,31,0.31,75.80645161290323,3,10,8.5,2,是,否
N010,内蒙古包头稀土高新技术产业开发区,内蒙古,包头市,15,0,24,32,0.32,75,8,13,3,0,是,否
N011,辽宁沈阳中德高端装备制造产业园,辽宁,沈阳市,13,0,22,32,0.32,68.75,7,9,4,2,是,否
N012,吉林松原石油化学工业循环经济园区,吉林,松原市,12,0,14.3,33,0.33,43.333333333333336,4,7,3.3,0,是,否
N013,吉林辽源高新技术产业开发区,吉林,辽源市,14,0,17.1,30,0.3,57,6,7,3.6,0.5,是,否
N014,吉林四平新型工业化经济开发区,吉林,四平市,13,0,12.3,33.5,0.335,36.71641791044776,3,5.5,3.8,0,是,否
N015,黑龙江七台河江河融合绿色智造产业园区,黑龙江,七台河市,15,0,17.5,31.5,0.315,55.55555555555556,1,10,4.5,2,是,否
N016,黑龙江绥化安达经济开发区精细化工产业园,黑龙江,绥化市,16,1,17.9,34,0.34,52.647058823529406,3,9,3.9,2,是,否
N017,上海临港新片区零碳湾,上海,上海市,13,1,20,31,0.31,64.51612903225806,5,11,4,0,是,否
N018,江苏盐城大丰港经济开发区,江苏,盐城市,15,0,20,30,0.3,66.66666666666667,2,8,8,2,是,否
N019,江苏常州溧阳高新技术产业开发区,江苏,常州市,15,0,25.5,30.5,0.305,83.60655737704919,6,11,6.5,2,是,否
N020,浙江台州温岭经济开发区,浙江,台州市,14,0,22,30,0.3,73.33333333333333,4,12,4,2,是,否
N021,安徽宣城广德经济开发区,安徽,宣城市,13,0,21,32,0.32,65.625,7,7,5,2,是,否
N022,安徽阜阳经济开发区,安徽,阜阳市,17,0,21.5,34.5,0.345,62.31884057971014,1,13,5,2,是,否
N023,福建厦门火炬高技术产业开发区同翔高新城,福建,厦门市,15,0,22,30,0.3,73.33333333333333,4,12,4,2,是,否
N024,福建宁德福鼎工业园区,福建,宁德市,11,0,16,30,0.3,53.33333333333333,6,8,2,0,是,否
N025,福建漳州古雷港经济开发区,福建,漳州市,11,1,22,31,0.31,70.96774193548387,9,6,6,1,是,否
N026,江西宜春经济技术开发区,江西,宜春市,12,0,17.5,32.5,0.325,53.84615384615385,4,7,4.5,2,是,否
N027,山东烟台丁字湾新型能源创新区,山东,烟台市,14,1,22,31,0.31,70.96774193548387,4,9,7,2,是,否
N028,山东东营垦利经济技术开发区,山东,东营市,10,0,20.3,30,0.3,67.66666666666667,11,7,0.3,2,是,否
N029,河南郑州航空港高新技术产业开发区,河南,郑州市,13,0,21.5,30,0.3,71.66666666666667,10,7,3.5,1,是,否
N030,湖北荆门高新技术产业开发区,湖北,荆门市,16,0,31,31,0.31,100,10,15,4,2,是,否
N031,湖南湘潭经济技术开发区,湖南,湘潭市,15,0,26.5,34.5,0.345,76.81159420289855,11,11,4.5,0,是,否
N032,广东汕头濠江产业园区,广东,汕头市,12,1,14,30,0.3,46.666666666666664,1,11,2,0,是,否
N033,广东湛江临港经济区,广东,湛江市,17,1,21.2,31,0.31,68.38709677419355,4,13,3.2,1,是,否
N034,广西龙港新区玉林龙潭产业园区,广西,玉林市,12,1,19.5,30.5,0.305,63.9344262295082,9,7,1.5,2,是,否
N035,广西北海铁山港（临海）工业区,广西,北海市,14,0,18,30,0.3,60,6,7,4,1,是,否
N036,广西百色战略性新兴产业园,广西,百色市,14,0,15.5,30.5,0.305,50.81967213114754,3,7,4.5,1,是,否
N037,海南海口国家高新技术产业开发区,海南,海口市,13,0,19,31,0.31,61.29032258064516,5,11,3,0,是,否
N038,重庆两江新区,重庆,重庆市,15,0,23.5,31.5,0.315,74.60317460317461,7,10,4.5,2,是,否
N039,四川宜宾临港经济技术开发区东部产业园,四川,宜宾市,13,1,19.5,30.5,0.305,63.9344262295082,7,7,3.5,2,是,否
N040,贵州贵阳大数据科创城,贵州,贵阳市,16,0,20,34,0.34,58.82352941176471,3,10,5,2,是,否
N041,云南大理祥云经济技术开发区,云南,大理州,10,0,13.5,30,0.3,45,5,5,3,0.5,是,否
N042,云南曲靖经济技术开发区,云南,曲靖市,15,0,21,33,0.33,63.63636363636363,3,8,8,2,是,否
N043,西藏拉萨经济技术开发区,西藏,拉萨市,14,0,16,30,0.3,53.33333333333333,1,10,5,0,是,否
N044,陕西咸阳三原高新技术产业开发区,陕西,咸阳市,12,0,17.5,30,0.3,58.333333333333336,7,7,3.5,0,是,否
N045,甘肃金昌经济技术开发区,甘肃,金昌市,12,0,30.5,30.5,0.305,100,20,6,4.5,0,是,否
N046,甘肃庆阳东数西算产业园区,甘肃,庆阳市,13,1,18,33,0.33,54.54545454545454,3,9,5,1,是,否
N047,青海西宁经济技术开发区南川工业园区,青海,西宁市,13,0,20,30,0.3,66.66666666666667,4,9,5,2,是,否
N048,宁夏银川苏银产业园,宁夏,银川市,16,3,19.5,36.5,0.365,53.42465753424658,2,11,4.5,2,是,否
N049,宁夏中卫工业园区,宁夏,中卫市,14,0,17.5,32.5,0.325,53.84615384615385,3,6,6.5,2,是,否
N050,新疆乌鲁木齐甘泉堡经济技术开发区,新疆,乌鲁木齐市,16,0,19.3,36.5,0.365,52.87671232876713,3,10,4.3,2,是,否
N051,新疆库尔勒上库高新技术产业开发区,新疆,巴音郭楞州,16,1,18.5,40.5,0.405,45.67901234567901,4,8,4.5,2,是,否
N052,新疆生产建设兵团石河子经济技术开发区,新疆生产建设兵团,石河子市,17,2,21.5,41.5,0.415,51.80722891566265,6,9,4.5,2,是,否
