park_id,region_scope,list_level,level,country,province,city,park_name,latitude,longitude,boundary_type,construction_period,start_year,end_year,industry_group,industry_classification_note,source_title,source_url,source_date,public_data_status,data_note,recommended_focus
NAT-001,国内园区,国家级第一批,国家级,中国,北京市,北京市,北京经济技术开发区,39.79,116.5,园中园,2025—2028,2025.0,2028.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-002,国内园区,国家级第一批,国家级,中国,天津市,天津市,天津经济技术开发区,39.03,117.71,园中园,2025—2030,2025.0,2030.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-003,国内园区,国家级第一批,国家级,中国,天津市,天津市,天津港保税区,39.0,117.75,园中园,2025—2030,2025.0,2030.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-004,国内园区,国家级第一批,国家级,中国,河北省,保定市,河北保定高新技术产业开发区,38.87,115.47,园中园,2025—2028,2025.0,2028.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-005,国内园区,国家级第一批,国家级,中国,河北省,沧州市,河北沧州沧东经济开发区,38.3,116.9,园中园,2025—2027,2025.0,2027.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-006,国内园区,国家级第一批,国家级,中国,河北省,唐山市,河北唐山乐亭经济开发区,39.43,118.91,园中园,2025—2028,2025.0,2028.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-007,国内园区,国家级第一批,国家级,中国,山西省,大同市,山西大同经济技术开发区,40.08,113.3,园中园,2025—2028,2025.0,2028.0,算力/数据中心型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-008,国内园区,国家级第一批,国家级,中国,山西省,阳泉市,山西阳泉高新技术产业开发区,37.86,113.58,园中园,2025—2028,2025.0,2028.0,算力/数据中心型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-009,国内园区,国家级第一批,国家级,中国,内蒙古自治区,鄂尔多斯市,内蒙古鄂尔多斯蒙苏经济开发区,39.57,109.75,园中园,2025—2028,2025.0,2028.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-010,国内园区,国家级第一批,国家级,中国,内蒙古自治区,包头市,内蒙古包头稀土高新技术产业开发区,40.66,109.84,园中园,2025—2027,2025.0,2027.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-011,国内园区,国家级第一批,国家级,中国,辽宁省,沈阳市,辽宁沈阳中德高端装备制造产业园,41.75,123.19,整体,2025—2027,2025.0,2027.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-012,国内园区,国家级第一批,国家级,中国,吉林省,松原市,吉林松原石油化学工业循环经济园区,45.13,124.82,园中园,2025—2030,2025.0,2030.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-013,国内园区,国家级第一批,国家级,中国,吉林省,辽源市,吉林辽源高新技术产业开发区,42.9,125.14,整体,2025—2028,2025.0,2028.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-014,国内园区,国家级第一批,国家级,中国,吉林省,四平市,吉林四平新型工业化经济开发区,43.17,124.38,园中园,2025—2029,2025.0,2029.0,综合/其他型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-015,国内园区,国家级第一批,国家级,中国,黑龙江省,七台河市,黑龙江七台河江河融合绿色智造产业园区,45.77,131.0,整体,2025—2030,2025.0,2030.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-016,国内园区,国家级第一批,国家级,中国,黑龙江省,绥化市,黑龙江绥化安达经济开发区精细化工产业园,46.4,125.33,园中园,2025—2030,2025.0,2030.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-017,国内园区,国家级第一批,国家级,中国,上海市,上海市,上海临港新片区零碳湾,30.9,121.92,园中园,2025—2028,2025.0,2028.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-018,国内园区,国家级第一批,国家级,中国,江苏省,盐城市,江苏盐城大丰港经济开发区,33.2,120.47,园中园,2025—2028,2025.0,2028.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-019,国内园区,国家级第一批,国家级,中国,江苏省,常州市,江苏常州溧阳高新技术产业开发区,31.42,119.48,园中园,2025—2029,2025.0,2029.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-020,国内园区,国家级第一批,国家级,中国,浙江省,台州市,浙江台州温岭经济开发区,28.37,121.36,园中园,2025—2030,2025.0,2030.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-021,国内园区,国家级第一批,国家级,中国,安徽省,宣城市,安徽宣城广德经济开发区,30.89,119.42,园中园,2025—2028,2025.0,2028.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-022,国内园区,国家级第一批,国家级,中国,安徽省,阜阳市,安徽阜阳经济开发区,32.9,115.82,园中园,2025—2030,2025.0,2030.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-023,国内园区,国家级第一批,国家级,中国,福建省,厦门市,福建厦门火炬高技术产业开发区同翔高新城,24.7,118.23,园中园,2025—2029,2025.0,2029.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-024,国内园区,国家级第一批,国家级,中国,福建省,宁德市,福建宁德福鼎工业园区,27.32,120.22,园中园,2025—2028,2025.0,2028.0,冶金/战略材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-025,国内园区,国家级第一批,国家级,中国,福建省,漳州市,福建漳州古雷港经济开发区,23.76,117.61,园中园,2025—2029,2025.0,2029.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-026,国内园区,国家级第一批,国家级,中国,江西省,宜春市,江西宜春经济技术开发区,27.82,114.42,园中园,2025—2030,2025.0,2030.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-027,国内园区,国家级第一批,国家级,中国,山东省,烟台市,山东烟台丁字湾新型能源创新区,36.72,121.08,园中园,2025—2030,2025.0,2030.0,新能源装备与材料型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-028,国内园区,国家级第一批,国家级,中国,山东省,东营市,山东东营垦利经济技术开发区,37.59,118.55,园中园,2025—2027,2025.0,2027.0,化工/石化型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
NAT-029,国内园区,国家级第一批,国家级,中国,河南省,郑州市,河南郑州航空港高新技术产业开发区,34.52,113.84,园中园,2025—2030,2025.0,2030.0,高新/先进制造型,基于公开产业信息的调研分类，正式使用前应由园区确认,公开数据主表与国家/广东零碳园区名单,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html,2025-12-26,名录与建设信息已登记；运行数据待补,现有公开信息可用于名录、区域、建设范围和周期展示，不能替代园区能源平衡表、碳排放台账和项目可研。,先核实边界和基准年台账，再编制项目清单并对照国家指标。
