evidence_id,park_id,date,evidence_type,metric,value,unit,statement,caveat,source_url,source_title,publisher,year
E001,NAT-009,2025-04-09,公开现状,企业绿电使用比例,接近70,%,公开报道显示，园区企业绿电使用比例接近70%。,报道口径，不能替代同一基准年能源平衡表和绿电凭证。,https://www.ndrc.gov.cn/fggz/hjyzy/tdftzh/202504/t20250409_1397120.html,园区循环化改造公开文件,国家发展和改革委员会,2025
E002,NAT-009,2025-04-09,公开现状,废水循环利用率,95,%,公开报道显示，园区废水循环利用率达到95%。,需核实统计边界、分母和基准年后方可用于正式对标。,https://www.ndrc.gov.cn/fggz/hjyzy/tdftzh/202504/t20250409_1397120.html,园区循环化改造公开文件,国家发展和改革委员会,2025
E003,NAT-018,2026-01-04,公开现状,周边新能源装机,超过680,万千瓦,公开报道显示，园区所在区域风、光等新能源装机已超过680万千瓦。,区域供给条件，不等于园区实际消纳量。,https://zjic.zj.gov.cn/ywdh/nyhj/202601/t20260104_23887267.shtml,园区公开证据,中国政府网,2026
E004,NAT-018,2026-01-04,公开现状,年度直供绿电,超过2000,万千瓦时,公开报道显示，园区年直供绿电超过2000万千瓦时。,需与园区总用电量、绿电交易和环境属性核销台账核对。,https://zjic.zj.gov.cn/ywdh/nyhj/202601/t20260104_23887267.shtml,园区公开证据,中国政府网,2026
E005,NAT-018,2030目标,建设目标,绿电直供占比,70,%,公开建设安排提出，到2030年绿电直供占比达到70%。,规划目标，不是当前完成值。,https://zjic.zj.gov.cn/ywdh/nyhj/202601/t20260104_23887267.shtml,园区公开证据,中国政府网,2030
E006,NAT-018,2030目标,建设目标,绿电消费占比,约95,%,公开建设安排提出，到2030年绿电消费占比达到约95%。,规划目标，不是当前完成值。,https://zjic.zj.gov.cn/ywdh/nyhj/202601/t20260104_23887267.shtml,园区公开证据,中国政府网,2030
E007,NAT-014,2025年末,公开现状,入园企业,19,家,公开信息显示，截至2025年底园区已落户企业19家，其中规上企业6家。,企业数量口径需与园区正式企业清单核对。,https://www.jl.gov.cn/szfzt/gzlfz/gzdt/202602/t20260222_3554945.html,园区公开证据,中国政府网,2025
E008,NAT-014,2029目标,建设目标,绿电装机,160,万千瓦,园区建设安排提出，到2029年绿电装机规模达到160万千瓦。,建设目标，不是当前完成值。,https://www.jl.gov.cn/szfzt/gzlfz/gzdt/202602/t20260222_3554945.html,园区公开证据,中国政府网,2029
E009,NAT-014,2029目标,建设目标,绿电占比,不低于90,%,园区建设安排提出，到2029年绿电占比不低于90%。,建设目标，不是当前完成值。,https://www.jl.gov.cn/szfzt/gzlfz/gzdt/202602/t20260222_3554945.html,园区公开证据,中国政府网,2029
E010,NAT-014,2029目标,建设目标,单位能耗二氧化碳排放,低于0.2,tCO2/tce,园区建设安排提出，到2029年单位能耗二氧化碳排放降至0.2 tCO2/tce以下。,建设目标，正式核算仍应使用国家方法和园区台账。,https://www.jl.gov.cn/szfzt/gzlfz/gzdt/202602/t20260222_3554945.html,园区公开证据,中国政府网,2029
